"CODIGO","CICLO","CLAVE_MATERIA","MATERIA","CALIFICACION","MODALIDAD"
"13","2023-B","I5914","SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO","93","ORDINARIO"
"13","2023-B","I5906","ALMACENES DE DATOS (DATA WAREHOUSE)","100","ORDINARIO"
"13","2023-B","I5913","SISTEMAS BASADOS EN CONOCIMIENTO","77","ORDINARIO"
"13","2024-A","I5916","PROYECTO DE GESTION DE LA TECNOLOGIA DE INFORMACION","AC","ORDINARIO"
"13","2024-A","I5917","PROYECTO DE SISTEMAS ROBUSTOS, PARALELOS Y DISTRIBUIDOS","AC","ORDINARIO"
"13","2024-A","I5918","COMPUTO FLEXIBLE (SOFTCOMPUTING)","AC","ORDINARIO"
"14","2019-B","I5883","SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION","100","ORDINARIO"
"14","2019-B","I7440","FORMACION EMPRESARIAL","100","ORDINARIO"
"14","2019-B","I5892","MATEMATICA DISCRETA","100","ORDINARIO"
"14","2019-B","I7381","ETICA PROFESIONAL","90","ORDINARIO"
"14","2019-B","I5893","METODOS MATEMATICOS I","95","ORDINARIO"
"14","2019-B","I6123","INTRODUCCION A LA FISICA","100","ORDINARIO"
"14","2019-B","I5894","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","96","ORDINARIO"
"14","2019-B","I5882","PROGRAMACION","100","ORDINARIO"
"14","2020-A","I5895","METODOS MATEMATICOS II","100","ORDINARIO"
"14","2020-A","I5915","TEORIA DE LA COMPUTACION","84","ORDINARIO"
"14","2020-A","I5887","SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I","100","ORDINARIO"
"14","2020-A","I5896","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II","88","ORDINARIO"
"14","2020-A","I5886","ESTRUCTURAS DE DATOS I","96","ORDINARIO"
"14","2020-B","I5897","ESTADISTICA Y PROCESOS ESTOCASTICOS","100","ORDINARIO"
"14","2020-B","I5885","SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA","100","ORDINARIO"
"14","2020-B","I5889","SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II","100","ORDINARIO"
"14","2020-B","I5907","ADMINISTRACION DE REDES","100","ORDINARIO"
"14","2020-B","I5884","ALGORITMIA","86","ORDINARIO"
"14","2020-B","I5888","ESTRUCTURAS DE DATOS II","99","ORDINARIO"
"14","2020-B","I5890","BASES DE DATOS","100","ORDINARIO"
"14","2021-A","I5908","ADMINISTRACION DE SERVIDORES","100","ORDINARIO"
"14","2021-A","I6493","PROBLEMAS SOCIOECONOMICOS Y POLITICOS DE MEXICO","100","ORDINARIO"
"14","2021-A","I5909","PROGRAMACION PARA INTERNET","100","ORDINARIO"
"14","2021-A","I5891","SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS","100","ORDINARIO"
"14","2021-A","I5910","HIPERMEDIA","100","ORDINARIO"
"14","2021-A","I5898","INGENIERIA DE SOFTWARE I","99","ORDINARIO"
"14","2021-B","I5905","SEGURIDAD DE LA INFORMACION","100","ORDINARIO"
"14","2021-B","I5901","CONTROL DE PROYECTOS","100","ORDINARIO"
"14","2021-B","I5900","INGENIERIA DE SOFTWARE II","100","ORDINARIO"
"14","2021-B","I5899","SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I","94","ORDINARIO"
"14","2021-B","I5903","USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS","100","ORDINARIO"
"14","2021-B","I5904","SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS","100","ORDINARIO"
